x_last_hour,x_start_hour,predicted,mc_mean,mc_std,target,error_pct_baseline,error_pct_mcmean,p01,p05,p10,p50,p90,p95,p99,comp_bulk_rate,comp_pos_rate,comp_neg_rate,r_mean,r_abs_mean,batch_id,batch_cov90,batch_cov98
37.566666,42.283325,15.723663,42.115997,41.8939,27.333328,42.474392,54.082947,0.0,0.0,5.3583984,25.928574,100.89816,134.6483,189.25975,0.5976,0.3642,0.0382,25.604769,31.515831,0,0.7307692170143127,0.8557692170143127
27.333328,25.383331,15.822968,42.69587,42.884262,19.09999,17.157198,123.53868,0.0,0.0,5.086632,26.455551,104.2788,134.64325,194.10252,0.5969,0.362,0.0411,25.982569,32.200832,0,0.7307692170143127,0.8557692170143127
19.09999,13.216667,6.2415314,33.165173,40.78785,8.833328,29.341114,275.455,0.0,0.0,0.0,16.384686,91.65047,122.04699,181.12933,0.6064,0.3558,0.0378,25.125975,31.206593,0,0.7307692170143127,0.8557692170143127
8.833328,6.699997,1.682457,29.983099,40.149036,5.2999954,68.2555,465.71933,0.0,0.0,0.0,12.315041,86.56434,117.82355,173.62395,0.5967,0.36659998,0.0367,25.71558,31.68544,0,0.7307692170143127,0.8557692170143127
5.2999954,5.399994,0.97242737,28.845762,39.80106,3.616661,73.112564,697.5799,0.0,0.0,0.0,11.42923,86.0943,115.08405,175.06488,0.60899997,0.3545,0.0365,25.130547,31.084988,0,0.7307692170143127,0.8557692170143127
3.616661,4.283325,2.159996,30.04485,40.367477,2.5333252,14.736726,1085.9847,0.0,0.0,0.0,12.354485,87.277725,117.33697,175.12128,0.6006,0.35909998,0.0403,25.270395,31.504156,0,0.7307692170143127,0.8557692170143127
2.5333252,3.2666626,3.121109,30.296965,39.952244,2.1333237,46.302647,1320.1768,0.0,0.0,0.0,13.280983,86.53546,115.18753,175.52873,0.59959996,0.3572,0.043199997,24.70247,31.0919,0,0.7307692170143127,0.8557692170143127
2.1333237,7.033333,4.6261444,31.41443,40.3545,2.1833344,111.88438,1338.8281,0.0,0.0,0.0,14.454559,87.2066,119.61383,177.06366,0.6077,0.35209998,0.0402,24.63522,30.897112,0,0.7307692170143127,0.8557692170143127
2.1833344,10.650002,6.3975677,33.20683,40.12445,5.4333267,17.746788,511.16937,0.0,0.0,0.0,16.85437,89.80398,121.66273,174.64006,0.6024,0.3594,0.0382,25.042765,31.031565,0,0.7307692170143127,0.8557692170143127
5.4333267,16.416664,8.580727,34.99451,40.69357,12.133331,29.279715,188.41635,0.0,0.0,0.0,18.536827,93.2928,123.44972,179.84012,0.60429996,0.3576,0.0381,24.905893,31.129465,0,0.7307692170143127,0.8557692170143127
