hour,hour_invocation,day_of_week,hour_of_day
185.75,244.86666666666667,0,17
186.0,293.6,0,18
186.25,244.06666666666666,0,18
186.5,238.0,0,18
186.75,265.8,0,18
187.0,296.06666666666666,0,19
187.25,242.26666666666668,0,19
187.5,231.0,0,19
187.75,192.66666666666666,0,19
188.0,240.2,0,20
188.25,252.73333333333332,0,20
188.5,254.13333333333333,0,20
188.75,195.66666666666666,0,20
189.0,206.6,0,21
189.25,248.86666666666667,0,21
189.5,229.8,0,21
189.75,170.93333333333334,0,21
190.0,196.33333333333334,0,22
190.25,193.86666666666667,0,22
190.5,219.8,0,22
190.75,150.46666666666667,0,22
191.0,105.2,0,23
191.25,254.8,0,23
191.5,250.86666666666667,0,23
191.75,227.53333333333333,0,23
192.0,164.73333333333332,1,0
192.25,194.26666666666668,1,0
192.5,148.26666666666668,1,0
192.75,192.06666666666666,1,0
193.0,191.0,1,1
193.25,145.06666666666666,1,1
193.5,152.8,1,1
193.75,197.2,1,1
194.0,162.53333333333333,1,2
194.25,143.93333333333334,1,2
194.5,171.46666666666667,1,2
194.75,129.53333333333333,1,2
195.0,107.46666666666667,1,3
195.25,95.86666666666666,1,3
195.5,55.333333333333336,1,3
195.75,140.86666666666667,1,3
196.0,109.4,1,4
196.25,96.8,1,4
196.5,91.66666666666667,1,4
196.75,83.2,1,4
197.0,89.2,1,5
197.25,73.2,1,5
197.5,84.0,1,5
197.75,69.66666666666667,1,5
198.0,86.4,1,6
198.25,84.06666666666666,1,6
198.5,79.46666666666667,1,6
198.75,31.8,1,6
199.0,135.6,1,7
199.25,85.8,1,7
199.5,122.93333333333334,1,7
199.75,92.8,1,7
200.0,127.86666666666666,1,8
200.25,116.33333333333333,1,8
200.5,117.33333333333333,1,8
200.75,99.0,1,8
201.0,168.13333333333333,1,9
201.25,133.53333333333333,1,9
201.5,247.6,1,9
201.75,211.13333333333333,1,9
202.0,190.73333333333332,1,10
202.25,232.46666666666667,1,10
202.5,251.86666666666667,1,10
202.75,272.6,1,10
203.0,307.6,1,11
203.25,268.2,1,11
203.5,240.26666666666668,1,11
203.75,238.13333333333333,1,11
204.0,259.1333333333333,1,12
204.25,281.6666666666667,1,12
204.5,229.13333333333333,1,12
204.75,251.46666666666667,1,12
205.0,244.8,1,13
205.25,217.26666666666668,1,13
205.5,261.3333333333333,1,13
205.75,291.4,1,13
206.0,277.3333333333333,1,14
206.25,274.0,1,14
206.5,309.26666666666665,1,14
206.75,294.2,1,14
207.0,301.93333333333334,1,15
207.25,286.93333333333334,1,15
207.5,310.8666666666667,1,15
207.75,189.0,1,15
208.0,312.6,1,16
208.25,205.4,1,16
208.5,287.73333333333335,1,16
208.75,286.0,1,16
209.0,283.6666666666667,1,17
209.25,280.4,1,17
209.5,296.26666666666665,1,17
209.75,210.46666666666667,1,17
210.0,262.8666666666667,1,18
210.25,263.8666666666667,1,18
210.5,201.0,1,18
210.75,174.0,1,18
211.0,192.86666666666667,1,19
211.25,227.0,1,19
211.5,232.06666666666666,1,19
211.75,201.6,1,19
212.0,238.46666666666667,1,20
212.25,264.93333333333334,1,20
212.5,192.53333333333333,1,20
212.75,242.06666666666666,1,20
213.0,235.0,1,21
213.25,146.73333333333332,1,21
213.5,299.46666666666664,1,21
213.75,259.53333333333336,1,21
214.0,219.0,1,22
214.25,318.46666666666664,1,22
214.5,226.73333333333332,1,22
214.75,184.2,1,22
215.0,223.06666666666666,1,23
215.25,213.46666666666667,1,23
215.5,251.46666666666667,1,23
215.75,149.4,1,23
216.0,206.73333333333332,2,0
216.25,224.66666666666666,2,0
216.5,182.13333333333333,2,0
216.75,141.13333333333333,2,0
217.0,140.4,2,1
217.25,110.26666666666667,2,1
217.5,119.0,2,1
217.75,111.0,2,1
218.0,108.6,2,2
218.25,142.4,2,2
218.5,109.26666666666667,2,2
218.75,101.66666666666667,2,2
219.0,118.66666666666667,2,3
219.25,96.06666666666666,2,3
219.5,111.6,2,3
219.75,81.73333333333333,2,3
220.0,77.53333333333333,2,4
220.25,68.8,2,4
220.5,86.4,2,4
220.75,68.4,2,4
221.0,81.2,2,5
221.25,68.26666666666667,2,5
221.5,85.26666666666667,2,5
221.75,66.13333333333334,2,5
222.0,77.4,2,6
222.25,78.86666666666666,2,6
222.5,84.26666666666667,2,6
222.75,90.13333333333334,2,6
223.0,90.86666666666666,2,7
223.25,99.0,2,7
223.5,108.86666666666666,2,7
223.75,56.2,2,7
224.0,146.2,2,8
224.25,131.73333333333332,2,8
224.5,115.53333333333333,2,8
224.75,119.6,2,8
225.0,156.53333333333333,2,9
225.25,131.4,2,9
225.5,201.66666666666666,2,9
225.75,276.2,2,9
226.0,223.0,2,10
226.25,274.46666666666664,2,10
226.5,285.6,2,10
226.75,305.06666666666666,2,10
227.0,335.73333333333335,2,11
227.25,370.1333333333333,2,11
227.5,378.73333333333335,2,11
227.75,355.46666666666664,2,11
228.0,332.1333333333333,2,12
228.25,321.53333333333336,2,12
228.5,354.6,2,12
228.75,310.4,2,12
