mc_mean,mc_median,std,p05,p50,p95,true_hourly_carbon,mc_mean_minus_truth
228450458.61882523,230098092.21715194,16938239.080549013,201425584.5424014,230098092.21715194,254685240.81181312,231094267.52716792,-2643808.9083426893
243276915.27057886,243889123.37366608,16732990.418230604,215293601.8075871,243889123.37366608,270749488.687241,236537317.89735898,6739597.3732198775
268105862.04237092,268530196.98108554,13799735.513733583,245587638.643122,268530196.98108554,289885842.7854794,260976039.64292815,7129822.399442762
280498882.04719085,280587816.19082284,16676834.02338727,253925807.1751318,280587816.19082284,306777122.80671936,263166707.31526166,17332174.731929183
266344228.93959257,264952172.48872578,14545725.78909505,243670665.97129193,264952172.48872578,293339154.07692474,251804692.3211204,14539536.618472159
238380052.3693372,236887102.11645156,13821392.331924003,217984715.77280572,236887102.11645156,265065482.37706605,230586554.62992123,7793497.739415973
197968473.573867,197074624.43321636,16812599.123720486,172134244.1409249,197074624.43321636,226470947.80177987,185105811.66506422,12862661.908802778
159895521.21026748,158823194.14899647,17411038.90328873,127613906.50645113,158823194.14899647,186526637.9199813,165730788.16590264,-5835266.95563516
122562442.904254,119736023.2035923,17858085.705203976,92770392.79271394,119736023.2035923,161607832.2644484,133926066.6027729,-11363623.698518902
118483118.36387491,118582321.43274002,19662366.82294481,87491043.90810068,118582321.43274002,151983033.5729738,125675486.9824413,-7192368.618566394
96831146.61665647,91943049.40074953,14905561.192582047,81765707.42282778,91943049.40074953,133491165.55749497,123063132.78838669,-26231986.17173022
101856889.4572263,94962534.20566642,19248779.28615818,81140623.26492798,94962534.20566642,139020433.066473,104578970.92739435,-2722081.470168039
122760959.54017666,134266571.16928643,25079352.846343108,82461249.99571149,134266571.16928643,152818816.4044213,104958526.05802031,17802433.48215635
132657751.03109685,127421179.86004668,17334798.22437492,112361404.26273046,127421179.86004668,169248811.50943786,127983621.74109729,4674129.2899995595
180919048.8941582,183528268.1772843,18326733.65796557,154171543.05461502,183528268.1772843,210562367.76109886,181452738.26557896,-533689.3714207411
215184875.10131526,209680264.97654134,19722390.19330624,189969735.79909524,209680264.97654134,250233514.39531764,234622491.2800124,-19437616.17869714
239239247.2728321,236984886.01560777,16644246.29492374,214751935.4793201,236984886.01560777,267321756.57679957,258752680.84636292,-19513433.573530823
248328095.6600696,245631031.24418387,15018762.34188047,225753949.8869249,245631031.24418387,274058868.50722003,292701622.1650728,-44373526.505003184
247575231.8845395,249362191.74542242,14273516.031798542,225153434.46518192,249362191.74542242,269771067.14172846,283145948.0277131,-35570716.143173605
