x_last_hour,x_start_hour,predicted,target,error_rates
28.000008,34.0,28.278801,16.0,76.74251
240.0,146.0,240.27878,229.0,4.9252305
36.0,111.0,36.255737,54.999992,34.08047
150.0,152.0,150.2788,169.0,11.077638
28.000008,55.0,28.278801,30.0,5.73733
171.0,175.0,171.2788,171.0,0.16303703
181.0,154.0,181.2551,164.0,10.5214
12.0,32.000008,12.278793,14.0,12.294333
132.0,194.0,132.2788,100.0,32.278793
229.0,203.0,229.27878,193.0,18.797295
225.0,135.0,225.2788,197.0,14.354717
177.0,231.0,177.269,163.0,8.753986
101.0,67.0,101.27879,122.0,16.984596
180.0,200.0,180.2788,155.0,16.308899
106.0,170.0,106.27879,110.0,3.3829153
39.000008,72.0,39.2788,34.0,15.525885
224.0,211.0,224.95253,215.0,4.6290836
184.0,159.0,184.2788,206.0,10.544274
209.0,197.0,209.44772,193.0,8.522137
204.0,195.0,204.2788,178.0,14.763367
128.0,121.0,128.2788,141.0,9.022132
215.0,178.0,215.26004,171.0,25.883064
134.0,166.0,134.2788,183.0,26.62361
143.0,162.0,143.2788,171.0,16.211233
131.0,224.0,131.2788,119.0,10.318314
62.0,125.0,62.2788,63.0,1.1447604
191.0,159.0,191.2788,219.0,12.658085
225.0,183.0,225.27708,178.0,26.56016
209.0,214.0,209.27225,241.99998,13.523859
170.0,173.0,170.26317,187.0,8.950177
224.0,186.0,224.2788,181.0,23.910934
161.0,112.0,161.2788,214.0,24.636078
168.0,121.0,168.2788,154.0,9.271944
148.0,196.0,148.2788,168.0,11.738813
166.0,138.0,166.26582,130.0,27.896786
194.0,126.0,194.2788,151.0,28.661453
212.0,233.0,212.2601,147.0,44.394627
101.0,48.0,101.23894,145.0,30.180042
214.0,246.0,214.25438,219.0,2.1669502
60.0,25.000008,60.26586,67.0,10.050953
44.0,67.0,44.269814,46.0,3.7612748
94.0,35.000008,94.27879,74.0,27.403774
87.0,39.000008,87.27879,98.0,10.940007
180.0,146.0,180.2788,177.0,1.8524256
129.0,101.0,129.2788,81.0,59.603447
185.0,233.0,185.2736,196.0,5.4726505
152.0,176.0,152.2788,138.0,10.3469515
260.0,172.0,260.2344,206.99998,25.717112
225.0,176.0,225.2788,181.0,24.46342
79.0,39.000008,79.26778,110.0,27.938383
215.0,161.0,215.35007,176.0,22.357992
67.0,27.0,67.27879,44.0,52.906345
182.0,140.0,182.2788,136.0,34.028522
166.0,98.0,166.24544,151.0,10.096316
168.0,171.0,168.2788,191.0,11.89592
181.0,213.0,181.2788,194.0,6.557323
133.0,166.0,133.2788,107.0,24.55962
173.0,201.0,173.2788,205.0,15.473759
175.0,198.0,175.5048,197.0,10.911265
206.0,184.0,206.27214,243.0,15.1143465
171.0,185.0,171.2788,177.0,3.23232
213.0,152.0,213.27878,225.0,5.2094316
42.000008,97.0,42.274467,34.0,24.336668
251.0,191.0,251.25824,226.0,11.176212
143.0,189.0,143.2788,180.0,20.400671
170.0,113.0,170.2788,138.0,23.39043
25.000008,21.000008,25.934456,21.000008,23.497364
181.0,195.0,181.2753,193.0,6.0749745
240.0,188.0,240.25322,252.99998,5.038247
191.0,225.0,191.96414,160.0,19.977589
210.0,184.0,210.26785,240.0,12.388394
187.0,191.0,187.2788,169.0,10.815854
196.0,172.0,196.26985,164.0,19.676739
167.0,204.0,167.2788,166.0,0.77035743
190.0,186.0,190.28418,155.0,22.763987
175.0,156.0,175.42088,194.0,9.576864
173.0,138.0,173.2788,159.0,8.980373
266.0,232.0,266.27405,214.0,24.427124
145.0,59.000008,145.2788,101.0,43.84039
165.0,196.0,165.2788,195.0,15.241644
166.0,78.0,166.2788,197.0,15.5945215
119.0,162.0,119.27879,152.0,21.52711
104.0,146.0,104.27879,83.0,25.637098
154.0,143.0,154.27408,155.0,0.46833655
192.0,145.0,192.25995,188.0,2.2659302
101.0,59.000008,101.27879,99.0,2.3018115
140.0,174.0,140.2788,84.0,66.998566
69.0,108.0,69.27879,62.0,11.739989
177.0,159.0,177.55952,169.0,5.0648074
187.0,197.0,187.2788,209.0,10.392922
183.0,171.0,183.2788,160.0,14.549247
163.0,154.0,163.26668,164.0,0.44714767
202.0,222.0,202.27878,155.0,30.502438
77.0,49.000008,77.27879,71.0,8.84337
76.0,127.0,76.27879,67.0,13.848946
30.0,69.0,30.246742,24.000008,26.028051
260.0,180.0,260.27878,202.0,28.85088
200.0,98.0,200.25317,211.0,5.0932827
54.0,82.0,54.278793,34.0,59.64351
211.0,225.0,211.2788,215.0,1.7307937
201.0,168.0,201.27628,180.0,11.820153
149.0,200.0,149.2788,183.0,18.42689
134.0,92.0,134.2788,128.0,4.9053073
189.0,211.0,189.80284,185.0,2.5961304
170.0,190.0,170.2788,148.0,15.05324
27.0,36.0,27.278801,32.000008,14.753768
29.000008,60.0,29.278801,39.000008,24.926167
32.000008,54.0,32.273987,30.000008,7.5799284
185.0,168.0,185.2788,149.0,24.348183
200.0,132.0,200.2788,260.0,22.969694
229.0,147.0,229.27878,218.0,5.1737514
